2,3,5,7,11,13,17,19,P,nvecs,5r5c,6r6c,time,version
7,4,3,2,0,0,0,0,63504000,117218,0,0,16.60,aardvark
10,4,3,0,1,0,0,0,114048000,128205,0,0,16.63,aardvark
6,4,3,1,1,0,0,0,49896000,119721,0,0,20.35,aardvark
10,4,3,1,0,0,0,0,72576000,128205,0,0,21.98,aardvark
8,4,2,1,1,0,0,0,39916800,125216,0,0,36.06,aardvark
7,5,2,1,1,0,0,0,59875200,156114,0,0,54.43,aardvark
8,4,3,2,0,0,0,0,127008000,196732,0,0,64.17,aardvark
7,5,3,2,0,0,0,0,190512000,245150,0,0,121.41,aardvark
7,4,3,1,1,0,0,0,99792000,212124,0,0,128.09,aardvark
9,4,3,2,0,0,0,0,254016000,314196,1,0,325.42,aardvark
8,4,3,1,1,0,0,0,199584000,353962,3,0,865.81,aardvark
8,5,3,2,0,0,0,0,381024000,409578,6,0,913.94,aardvark
6,4,3,2,1,0,0,0,349272000,448532,7,0,1129.03,aardvark
10,4,3,2,0,0,0,0,508032000,481885,18,1,1435.49,aardvark
9,4,3,1,1,0,0,0,399168000,562772,70,0,4855.36,aardvark
11,4,3,2,0,0,0,0,1016064000,714123,118,0,5293.17,aardvark
10,5,3,2,0,0,0,0,1524096000,996504,1265,0,26575.26,aardvark
